"jurisdiction","weekEndingDate","totalConfC19NewAdm","totalConfFluNewAdm","totalConfRSVNewAdm","totalConfC19NewAdmPer100k","totalConfFluNewAdmPer100k","totalConfRSVNewAdmPer100k","totalConfC19NewAdmPer100kLevel","totalConfFluNewAdmPer100kLevel","totalConfRSVNewAdmPer100kLevel","totalConfC19NewAdmHospRep","totalConfFluNewAdmHospRep","totalConfRSVNewAdmHospRep","totalConfC19NewAdmPercHospRep","totalConfFluNewAdmPercHospRep","totalConfRSVNewAdmPercHospRep"
"NM","2026-08-22","10","3","0","0.48","0.14","0.00","Very Low","Very Low","Very Low","41","41","41","83.67","83.67","83.67"
"USA","2026-08-22","2,706","822","337","0.80","0.24","0.10","Very Low","Very Low","Very Low","4,582","4,582","4,582","79.51","79.51","79.51"
"WY","2026-08-22","0","2","0","0.00","0.34","0.00","Very Low","Very Low","Very Low","21","21","21","67.74","67.74","67.74"
"CA","2026-08-22","496","79","13","1.28","0.20","0.03","Very Low","Very Low","Very Low","323","323","323","80.95","80.95","80.95"
"GA","2026-08-22","89","11","5","0.81","0.10","0.05","Very Low","Very Low","Very Low","107","107","107","66.88","66.88","66.88"
"NV","2026-08-22","18","9","0","0.57","0.28","0.00","Very Low","Very Low","Very Low","36","36","36","69.23","69.23","69.23"
"NY","2026-08-22","140","15","19","0.72","0.08","0.10","Very Low","Very Low","Very Low","170","170","170","83.33","83.33","83.33"
"OH","2026-08-22","28","13","4","0.24","0.11","0.03","Very Low","Very Low","Very Low","189","189","189","87.91","87.91","87.91"
"SC","2026-07-25","15","7","3","0.28","0.13","0.06","Very Low","Very Low","Very Low","68","68","68","90.67","90.67","90.67"
"AZ","2026-07-25","26","13","1","0.35","0.18","0.01","Very Low","Very Low","Very Low","88","88","88","88.89","88.89","88.89"
"MI","2026-07-25","18","10","3","0.18","0.10","0.03","Very Low","Very Low","Very Low","137","137","137","88.96","88.96","88.96"
"VI","2026-07-25","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","50","50","50"
"CO","2026-07-25","16","7","2","0.27","0.12","0.03","Very Low","Very Low","Very Low","81","81","81","81","81","81"
"IL","2026-07-25","21","16","0","0.17","0.13","0.00","Very Low","Very Low","Very Low","142","142","142","71.72","71.72","71.72"
"NH","2026-07-25","3","1","0","0.21","0.07","0.00","Very Low","Very Low","Very Low","26","26","26","100","100","100"
"RI","2026-07-25","4","0","1","0.37","0.00","0.09","Very Low","Very Low","Very Low","9","9","9","75","75","75"
"CT","2026-07-25","11","2","0","0.30","0.06","0.00","Very Low","Very Low","Very Low","29","29","29","90.63","90.63","90.63"
"GU","2026-07-25","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","50","50","50"
"ME","2026-07-25","0","1","1","0.00","0.07","0.07","Very Low","Very Low","Very Low","31","31","31","83.78","83.78","83.78"
"TX","2026-07-25","200","61","33","0.66","0.20","0.11","Very Low","Very Low","Very Low","389","389","389","70.47","70.47","70.47"
"NM","2026-07-25","5","2","1","0.24","0.10","0.05","Very Low","Very Low","Very Low","39","39","39","79.59","79.59","79.59"
"USA","2026-07-25","1,474","681","373","0.44","0.20","0.11","Very Low","Very Low","Very Low","4,630","4,630","4,630","80.34","80.34","80.34"
"SC","2026-08-08","20","5","1","0.37","0.09","0.02","Very Low","Very Low","Very Low","66","66","66","88","88","88"
"MI","2026-08-08","15","11","5","0.15","0.11","0.05","Very Low","Very Low","Very Low","125","125","125","81.7","81.7","81.7"
"VI","2026-08-08",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"CO","2026-08-08","13","3","1","0.22","0.05","0.02","Very Low","Very Low","Very Low","77","77","77","77","77","77"
"IL","2026-08-08","25","11","2","0.20","0.09","0.02","Very Low","Very Low","Very Low","152","152","152","76.77","76.77","76.77"
"NH","2026-08-08","2","3","0","0.14","0.21","0.00","Very Low","Very Low","Very Low","25","25","25","96.15","96.15","96.15"
"RI","2026-08-08","4","1","0","0.37","0.09","0.00","Very Low","Very Low","Very Low","10","10","10","83.33","83.33","83.33"
"AZ","2026-08-08","52","4","3","0.70","0.05","0.04","Very Low","Very Low","Very Low","87","87","87","87.88","87.88","87.88"
"CT","2026-08-08","6","1","0","0.17","0.03","0.00","Very Low","Very Low","Very Low","28","28","28","87.5","87.5","87.5"
"GU","2026-08-08","0","0","1","0.00","0.00","0.65","Very Low","Very Low","Very Low","1","1","1","50","50","50"
"ME","2026-08-08","1","0","0","0.07","0.00","0.00","Very Low","Very Low","Very Low","30","30","30","81.08","81.08","81.08"
"TX","2026-08-08","292","68","39","0.96","0.22","0.13","Very Low","Very Low","Very Low","388","388","388","70.29","70.29","70.29"
"NM","2026-08-08","4","0","0","0.19","0.00","0.00","Very Low","Very Low","Very Low","37","37","37","75.51","75.51","75.51"
"USA","2026-08-08","1,943","610","310","0.58","0.18","0.09","Very Low","Very Low","Very Low","4,476","4,476","4,476","77.69","77.69","77.69"
"CA","2026-05-09","162","188","93","0.42","0.48","0.24","Very Low","Very Low","Very Low","307","307","307","76.94","76.94","76.94"
"GA","2026-05-09","30","15","27","0.27","0.14","0.25","Very Low","Very Low","Very Low","121","121","121","75.63","75.63","75.63"
"NV","2026-05-09","10","46","15","0.31","1.45","0.47","Very Low","Low","Very Low","39","39","39","76.47","76.47","76.47"
"NY","2026-05-09","103","76","90","0.53","0.39","0.46","Very Low","Very Low","Very Low","167","167","167","81.86","81.86","81.86"
"AR","2026-05-09","6","6","8","0.20","0.20","0.26","Very Low","Very Low","Very Low","59","59","59","63.44","63.44","63.44"
"UT","2026-05-09","8","10","6","0.23","0.29","0.18","Very Low","Very Low","Very Low","51","51","51","91.07","91.07","91.07"
"MI","2026-05-09","33","20","81","0.33","0.20","0.81","Very Low","Very Low","Low","132","132","132","84.62","84.62","84.62"
"VI","2026-05-09","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","50","50","50"
"LA","2026-05-09","30","20","20","0.66","0.44","0.44","Very Low","Very Low","Very Low","132","132","132","80.49","80.49","80.49"
"MS","2026-05-09","11","18","3","0.38","0.61","0.10","Very Low","Very Low","Very Low","80","80","80","76.19","76.19","76.19"
"NJ","2026-05-09","74","44","38","0.80","0.47","0.41","Very Low","Very Low","Very Low","82","82","82","96.47","96.47","96.47"
"PR","2026-05-09","6","68","21","0.18","2.07","0.64","Very Low","Very Low","Very Low","21","21","21","38.18","38.18","38.18"
"AL","2026-05-09","48","20","17","0.94","0.39","0.33","Very Low","Very Low","Very Low","91","91","91","91","91","91"
"TN","2026-05-09","39","43","37","0.55","0.61","0.52","Very Low","Very Low","Very Low","125","125","125","93.98","93.98","93.98"
"ID","2026-07-04","3","4","1","0.15","0.20","0.05","Very Low","Very Low","Very Low","25","25","25","53.19","53.19","53.19"
"MO","2026-07-04","10","13","6","0.16","0.21","0.10","Very Low","Very Low","Very Low","90","90","90","72.58","72.58","72.58"
"OK","2026-07-04","7","9","4","0.17","0.22","0.10","Very Low","Very Low","Very Low","91","91","91","65.47","65.47","65.47"
"AZ","2026-07-04","14","17","4","0.19","0.23","0.05","Very Low","Very Low","Very Low","90","90","90","90.91","90.91","90.91"
"MI","2026-07-04","10","6","6","0.10","0.06","0.06","Very Low","Very Low","Very Low","132","132","132","85.16","85.16","85.16"
"VI","2026-07-04","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","50","50","50"
"CO","2026-07-04","3","4","2","0.05","0.07","0.03","Very Low","Very Low","Very Low","81","81","81","81","81","81"
"IL","2026-07-04","13","15","5","0.10","0.12","0.04","Very Low","Very Low","Very Low","152","152","152","76.77","76.77","76.77"
"NH","2026-07-04","1","1","0","0.07","0.07","0.00","Very Low","Very Low","Very Low","23","23","23","88.46","88.46","88.46"
"RI","2026-07-04","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","10","10","10","83.33","83.33","83.33"
"PR","2026-07-04","11","18","6","0.33","0.55","0.18","Very Low","Very Low","Very Low","26","26","26","47.27","47.27","47.27"
"NM","2026-07-04","4","3","1","0.19","0.14","0.05","Very Low","Very Low","Very Low","38","38","38","77.55","77.55","77.55"
"USA","2026-07-04","964","717","379","0.29","0.21","0.11","Very Low","Very Low","Very Low","4,610","4,610","4,610","80.03","80.03","80.03"
"SC","2026-07-11","11","4","4","0.21","0.07","0.07","Very Low","Very Low","Very Low","68","68","68","90.67","90.67","90.67"
"AZ","2026-07-11","20","17","2","0.27","0.23","0.03","Very Low","Very Low","Very Low","84","84","84","84.85","84.85","84.85"
"MI","2026-07-11","12","3","7","0.12","0.03","0.07","Very Low","Very Low","Very Low","124","124","124","80","80","80"
"VI","2026-07-11","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","50","50","50"
"CO","2026-07-11","15","4","2","0.26","0.07","0.03","Very Low","Very Low","Very Low","80","80","80","80","80","80"
"IL","2026-07-11","24","8","5","0.19","0.06","0.04","Very Low","Very Low","Very Low","147","147","147","74.24","74.24","74.24"
"NH","2026-07-11","1","1","1","0.07","0.07","0.07","Very Low","Very Low","Very Low","26","26","26","100","100","100"
"RI","2026-07-11","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","8","8","8","66.67","66.67","66.67"
"NM","2026-07-11","3","0","1","0.14","0.00","0.05","Very Low","Very Low","Very Low","37","37","37","75.51","75.51","75.51"
"USA","2026-07-11","1,067","660","316","0.32","0.20","0.09","Very Low","Very Low","Very Low","4,376","4,376","4,376","75.93","75.93","75.93"
"DC","2026-07-11","2","2","0","0.30","0.30","0.00","Very Low","Very Low","Very Low","6","6","6","54.55","54.55","54.55"
"MN","2026-07-11","4","4","4","0.07","0.07","0.07","Very Low","Very Low","Very Low","110","110","110","83.33","83.33","83.33"
"MT","2026-07-11","1","1","0","0.09","0.09","0.00","Very Low","Very Low","Very Low","43","43","43","68.25","68.25","68.25"
"AZ","2026-09-05","82","15","3","1.11","0.20","0.04","Very Low","Very Low","Very Low","87","87","87","87","87","87"
"WY","2026-09-05","2","0","0","0.34","0.00","0.00","Very Low","Very Low","Very Low","18","18","18","58.06","58.06","58.06"
"FL","2026-09-05","595","143","65","2.64","0.63","0.29","Very Low","Very Low","Very Low","228","228","228","81.72","81.72","81.72"
"ME","2026-09-05","0","1","0","0.00","0.07","0.00","Very Low","Very Low","Very Low","30","30","30","81.08","81.08","81.08"
"WV","2026-09-05","8","1","1","0.45","0.06","0.06","Very Low","Very Low","Very Low","56","56","56","93.33","93.33","93.33"
